segmentnr	original	analyzed
MBtantrabhidanaHK-5325	jhiṇṭīśaḥ [siddhīśaḥ] padmanābhaśca śaktirdakṣaḥ kṣamā'mṛtam [sūkṣmā'mṛtā bhagaḥ] |	jhiṇṭīśaḥ siddhīśaḥ padmanābhaḥ ca śaktiḥ dakṣaḥ kṣamā amṛtam sūkṣmā amṛtā bhagaḥ 
MBtantrabhidanaHK-5326	bhaga ūrdhvaṃ [ūrdvhoṣṭhaḥ] kāmarūpa ekāraśca trikoṇakaḥ || 13 ||	bhagaḥ ūrdhvam ūrdvha uṣṭhaḥ kāmarūpaḥ ekāraḥ ca trikoṇakaḥ 
MBtantrabhidanaHK-5327	jñānāmṛtā bhautikaśca dharā dāmodarastathā |	jñānāmṛtā bhautikaḥ ca dharā dāmodaraḥ tathā 
MBtantrabhidanaHK-5328	"8	vāgīśo va(dha)rma bhayada [varmebharada] ai-kārastripurastathā || 14 ||"	vāgīśaḥ bhaya da varmebhara da aikāraḥ tripuraḥ tathā 
MBtantrabhidanaHK-5329	sadyojāto vāsudevo rudro [ūrdhvadnataḥ] dantastrimātṛ(tra)kaḥ |	sadyojātaḥ vāsudevaḥ dantaḥ tri mātṛtrakaḥ 
MBtantrabhidanaHK-5330	āpyāyanī mantranātha o-kāro na(nā)gasaṃjñakaḥ || 15 ||	          
MBtantrabhidanaHK-5331	saṅkarṣaṇo'nugraheśo murārirvyāpinī tathā |	saṅkarṣaṇaḥ unugraheśaḥ murāriḥ vyāpinī tathā 
MBtantrabhidanaHK-5332	"12	adhodantagato māyī nṛsiṃhāṅgaṃ tathau-svaraḥ || 16 ||"	adhas danta gataḥ māyī nṛsiṃha aṅgam tathā ausvaraḥ 
MBtantrabhidanaHK-5333	akrūro vyomarūpaśca pradyumnaścandrasaṃjñakaḥ |	akrūraḥ vyoma rūpaḥ ca pradyumnaḥ candra saṃjñakaḥ 
MBtantrabhidanaHK-5334	anusvārastathā binduraṃkāraśca śirogataḥ || 17 ||	anusvāraḥ tathā binduḥ aṃkāraḥ ca śiraḥ gataḥ 
MBtantrabhidanaHK-5335	anantaśca mahāseno'niruddho rasava(nā)rṇakaḥ |	anantaḥ ca mahāsenaḥ niruddhaḥ rasa vana arṇakaḥ 
MBtantrabhidanaHK-5336	"16	kanyāstananibhaḥ sargo visargaścāntimasvaraḥ || 18 ||"	kanyā stana nibhaḥ sargaḥ visargaḥ ca antima svaraḥ 
MBtantrabhidanaHK-5337	(etāni svaranāmāni | mātṛkāvyañjananāmani vacmi ||)	etāni svara nāmāni mātṛkā vyañjana nāmani vacmi 
MBtantrabhidanaHK-5338	krodhīśo dhātṛsaṃjñaśca cakrī sṛṣṭiḥ karādigaḥ |	                
MBtantrabhidanaHK-5339	vargādirmāyā deveśaḥ [mo yādave] ka-kāraḥ kāmagaḥ smṛtaḥ || 19 ||	varga ādiḥ māyā deveśaḥ mo yādave kakāraḥ kāmagaḥ smṛtaḥ  /
MBtantrabhidanaHK-5340	"20	ṛddhirgadī ca caṇḍeśaḥ kheṭo dakṣiṇakūrparaḥ |"	ṛddhiḥ gadī ca caṇḍeśaḥ kheṭaḥ dakṣiṇa kūrparaḥ 
MBtantrabhidanaHK-5341	kaiṭabhaścaiva [bhāriśca] mātaṅgaḥ saṃhāraḥ khārṇakaḥ smṛtaḥ || 20 ||	kaiṭabhaḥ ca eva bhāriḥ ca mātaṅgaḥ saṃhāraḥ khārṇakaḥ smṛtaḥ   
MBtantrabhidanaHK-5342	p. 37)	p 
MBtantrabhidanaHK-5343	"1	smṛtiḥ pañcāntakaḥ śārṅgī gaṇeśo maṇibandhagaḥ |"	             
MBtantrabhidanaHK-5344	gomukho gajakumbhaśca ga-kāraḥ siṃhasaṃjñakaḥ || 21 ||	gomukhaḥ gajakumbhaḥ ca gakāraḥ siṃha saṃjñakaḥ 
MBtantrabhidanaHK-5345	khaḍgī śivotta(na)mo medhā dakṣiṇāṅgulimūlakam(gaḥ) |	khaḍgī medhā dakṣiṇa aṅguli mūlakamgaḥ 
MBtantrabhidanaHK-5346	"4	ghano ghanasvaraścaiva gha-kāro ṅādimaḥ smṛtaḥ || 22 ||"	ghanaḥ ghanasvaraḥ ca eva ghakāraḥ ṅādimaḥ smṛtaḥ 
MBtantrabhidanaHK-5347	śaṅkhako rudrakāntiśca dakṣāṅgulyagrasaṃsthitaḥ |	śaṅkhakaḥ rudra kāntiḥ ca dakṣa aṅguli agra saṃsthitaḥ 
MBtantrabhidanaHK-5348	klībavaktrañca bhā(bha)dreśo ṅa-kāraścānunāsikaḥ || 23 ||	klība vaktram ca bhā bhadra īśaḥ ṅakāraḥ ca anunāsikaḥ 
MBtantrabhidanaHK-5349	halī kūrmeśvaro lakṣmīrvāmabā(hvādiga)hurdiśastathā |	halī kūrmeśvaraḥ lakṣmīḥ vāma bāhu ādi gahuḥ diśaḥ tathā 
MBtantrabhidanaHK-5350	"8	ci(ttācā)tra-vārī cañcalaśca ca-kāraḥ saṃsmṛto budhaiḥ || 24 ||"	cañcalaḥ ca cakāraḥ saṃsmṛtaḥ budhaiḥ 
MBtantrabhidanaHK-5351	ekanetraśca muṣalī vāmakūrparago dyutiḥ |	eka netraḥ ca muṣalī vāma kūrpara gaḥ dyutiḥ 
MBtantrabhidanaHK-5352	tribindukastathācārī cha-kāraḥ prekṣa(śleṣma)kābhidhaḥ || 25 ||	tribindukaḥ tathā cārī chakāraḥ prekṣaśleṣmaka abhidhaḥ 
MBtantrabhidanaHK-5353	sthiro jayanto jayajaḥ śūlī ca caturānanaḥ |	sthiraḥ jayantaḥ jayajaḥ śūlī ca caturānanaḥ 
MBtantrabhidanaHK-5354	"12	maṇibandhagato vāmo ja-kāro japa(na)ko mataḥ || 26 ||"	           
MBtantrabhidanaHK-5355	sthitiḥ pāśī tathā'je(he)śo vāmāṅgulitalasthitaḥ |	sthitiḥ pāśī vāma aṅguli tala sthitaḥ 
MBtantrabhidanaHK-5356	svasthikaḥ khaṇḍasaṃjñaśca jha-kāro jāntasaṃjñakaḥ || 27 ||	svasthikaḥ khaṇḍa saṃjñaḥ ca jhakāraḥ ja anta saṃjñakaḥ 
MBtantrabhidanaHK-5357	vāmāṅgulyagrataḥ(gaḥ) siddhiraṅkuśaḥ sarvasaṃjñakaḥ |	siddhiḥ aṅkuśaḥ sarva saṃjñakaḥ 
MBtantrabhidanaHK-5358	"16	jñapriyo(ptigo) hyanunāsaśca ña-kāraśca nirañjanaḥ || 28 ||"	jña priya upti gaḥ hi anunāsaḥ ca ñakāraḥ ca nirañjanaḥ 
MBtantrabhidanaHK-5359	jarā mukundaḥ someśo dakṣapādādigo mukham(kaḥ) |	          
MBtantrabhidanaHK-5360	gajāṅkuśaśca bālenduramṛtādyaṣṭakārakaḥ || 29 ||	            
MBtantrabhidanaHK-5361	lāṅgalīśo nadajña(ndaja)śca pālinī ca kamaṇḍaluḥ |	lāṅgalī īśaḥ nada jñanda jaḥ ca pālinī ca kamaṇḍaluḥ 
MBtantrabhidanaHK-5362	"20	dakṣajānura(ga)taḥ sthāyī ṭha-kāraḥ sthaviraḥ smṛtaḥ || 30 ||"	dakṣa jānuḥ agataḥ sthāyī ṭhakāraḥ sthaviraḥ smṛtaḥ   
MBtantrabhidanaHK-5363	nandī kṣāntirdhā(rdā)rakaśca cā(ḍā)maro dakṣagulphagaḥ |	nandī kṣāntiḥ dhārdārakaḥ ca cāḍāmaraḥ dakṣa gulpha gaḥ 
MBtantrabhidanaHK-5364	vyāghrapādaḥ śubhāṅghriśca ḍa-kāro bhauajaḥ smṛtaḥ || 31 ||	vyāghrapādaḥ śubhāṅghriḥ ca ḍakāraḥ bhauajaḥ smṛtaḥ 
MBtantrabhidanaHK-5365	p. 38)	p 
MBtantrabhidanaHK-5366	"1	īśvaraścārddhanārīśo narah śaṅkhāntarākṛtaḥ(tiḥ) |"	īśvaraḥ ca arddhanārīśaḥ 
MBtantrabhidanaHK-5367	dāyādo'ṅgulimūlañca ḍha-śca saṅkocakārakaḥ || 32 ||	dāyāda uṅguli mūlam ca ḍhaḥ ca saṅkoca kārakaḥ 
MBtantrabhidanaHK-5368	umākānto narakajid ratidakṣapadāgragaḥ |	                               
MBtantrabhidanaHK-5369	"4	nirvāṇastriguṇākārastrirekho ṇaḥ samīritaḥ || 33 ||"	nirvāṇaḥ triguṇa ākāraḥ trirekhaḥ ṇaḥ samīritaḥ 
MBtantrabhidanaHK-5370	vāmorurmīna(rmūla)nilaya āṣāḍhī kāmiko hariḥ |	            
MBtantrabhidanaHK-5371	tīvraśca taralo nīlasta-kāraḥ kīrtito budhaiḥ || 34 ||	tīvraḥ ca taralaḥ nīlaḥ takāraḥ kīrtitaḥ budhaiḥ 
MBtantrabhidanaHK-5372	daṇḍīśo varadaḥ kṛṣṇo vāmajānugataḥ sthiraḥ |	              
MBtantrabhidanaHK-5373	"8	sauriścāpi viśālākṣī tha-kāraḥ parikīrtitaḥ || 35 ||"	sauriḥ ca api viśālākṣī thakāraḥ parikīrtitaḥ 
MBtantrabhidanaHK-5374	satyo'trī(śasaḥ śrī)śo hlādinī ca vāmagulphgatastathā |	śrīśaḥ hlādinī ca vāma gulpha gataḥ tathā 
MBtantrabhidanaHK-5375	śūlaḥ kuvero dātā ca da-kāro dhādimaḥ smṛtaḥ || 36 ||	           
MBtantrabhidanaHK-5376	mīneśaḥ sātvataḥ prītirvāmapādāṅgulīgataḥ |	mīneśaḥ sātvataḥ prītiḥ vāma pāda aṅgulī gataḥ 
MBtantrabhidanaHK-5377	"12	dharme(ne)śo dharaṇīśaśca dha-kāro dāntimo mataḥ || 37 ||"	dharmena īśaḥ dharaṇīśaḥ ca dhakāraḥ da antimaḥ mataḥ 
MBtantrabhidanaHK-5378	śarvo mantreśvaro dīrgho vāmapādāṅgulāgragaḥ |	                
MBtantrabhidanaHK-5379	naro nadī ca nādī ca na-kāraścānunāsikaḥ || 38 ||	naraḥ nadī ca nādī ca nakāraḥ ca anunāsikaḥ  /
MBtantrabhidanaHK-5380	tīkṣṇā ca lohitaḥ śūro dakṣapāṇi(rśva)śca pārthivaḥ |	tīkṣṇā ca lohitaḥ śūraḥ dakṣapāṇiḥ śvaḥ ca pārthivaḥ 
MBtantrabhidanaHK-5381	"16	padmeśo nāntimaḥ phādiḥ pa-kāro'pi prakīrtitaḥ || 39 ||"	              
MBtantrabhidanaHK-5382	janārdanaḥ śikhī raudrī vāmapārśvakṛtālayaḥ |	                 
MBtantrabhidanaHK-5383	phaṭkāraḥ procyate sadhbiḥ pha-kāraḥ pāntimastathā || 40 ||	phaṭkāraḥ procyate sadhbiḥ phakāraḥ pāntimaḥ tathā 
MBtantrabhidanaHK-5384	chagalaṇḍo bhūdharaścābhayā pṛṣṭha(ṣṭhaṃ)gatastathā |	chagalaṇḍaḥ bhūdharaḥ ca abhayā pṛṣṭhaṣṭhaṃgataḥ tathā 
MBtantrabhidanaHK-5385	"20	suraso vajramuṣṭiśca ba-kāro bhādimo'pi ca || 41 ||"	surasaḥ vajramuṣṭiḥ ca bakāraḥ ca 
MBtantrabhidanaHK-5386	viśvamūrtirdviraṇḍeśo nidrā nābhigatastathā |	viśvamūrtiḥ dvis aṇḍa īśaḥ nidrā nābhi gataḥ tathā 
MBtantrabhidanaHK-5387	bhṛkuṭī ca bharadvājo bha-kāraśca bhayāvahaḥ || 42 ||	bhṛkuṭī ca bharadvājaḥ bhakāraḥ ca bhayāvahaḥ 
MBtantrabhidanaHK-5388	p. 39)	p 
MBtantrabhidanaHK-5389	"1	vaikuṇṭhaśca mahākālastandrī(ntrī) jaṭharasaṃsthitaḥ |"	vaikuṇṭhaḥ ca mahākālaḥ tandrī intrī jaṭhara saṃsthitaḥ 
MBtantrabhidanaHK-5390	mantreśo maṇḍalo mānī viṣaṃ sūryo ma-kārakaḥ || 43 ||	            
MBtantrabhidanaHK-5391	kṣudhā vāṇī ca vāyustvag hṛdgataḥ puruṣottamaḥ |	kṣudhā vāṇī ca vāyuḥ tvac hṛd gataḥ puruṣottamaḥ 
MBtantrabhidanaHK-5392	"4	yamunā yāmuneyaśca ya-kāro māntimaḥ smṛtaḥ || 44 ||"	yamunā yāmuneyaḥ ca yakāraḥ ma antimaḥ smṛtaḥ 
MBtantrabhidanaHK-5393	krodhinī ca bhujaṅgeśo bālī rudhira-pāvakau |	krodhinī ca bhujaṅgeśaḥ bālī rudhira pāvakau 
MBtantrabhidanaHK-5394	rociṣmān dakṣiṇāṃśaśca ruciro repha īritaḥ || 45 ||	rociṣmān dakṣiṇa aṃśaḥ ca ruciraḥ rephaḥ īritaḥ 
MBtantrabhidanaHK-5395	kriyā kakudo māṃsañca pinākī bhūrbalānujaḥ |	kriyā kakudaḥ māṃsam ca pinākī bhūḥ balānujaḥ 
MBtantrabhidanaHK-5396	"8	lampaṭaḥ śakrasaṃjñaśca vāyavīyo la-kārakaḥ || 46 ||"	         
MBtantrabhidanaHK-5397	bālī vāmāṃsanilayo medo vārida-vāruṇau |	              
MBtantrabhidanaHK-5398	hṛ(u)tkārī jalasaṃjñaśca caṇḍīśo'pi va-kārakaḥ || 47 ||	hṛutkārī jalasaṃjñaḥ ca caṇḍīśaḥ api vakārakaḥ 
MBtantrabhidanaHK-5399	mṛtyurvako vṛ(vi)ṣaghnaśca hṛdo dakṣakarasthitaḥ |	mṛtyuḥ vakaḥ vṛviṣa ghnaḥ ca hṛdaḥ dakṣa kara sthitaḥ 
MBtantrabhidanaHK-5400	"12	śaṅkha(ṅku)karṇo'sthisaṃjñaśca śa-kāro vidbhirīritaḥ || 48 ||"	śaṅkha aṅku karṇa usthi saṃjñaḥ ca śakāraḥ vidbhiḥ īritaḥ 
MBtantrabhidanaHK-5401	vṛṣaḥ śveteśvaraḥ pītā majjā tṛḍ vāmabāhugaḥ |	vṛṣaḥ śveteśvaraḥ pītā majjā tṛṣ vāma bāhu gaḥ 
MBtantrabhidanaHK-5402	ṣaḍānanaḥ ṣaḍākāraḥ ṣa-kāraḥ kīrtito budhaiḥ || 49 ||	ṣaṣ ānanaḥ ṣaṣ ākāraḥ ṣakāraḥ kīrtitaḥ budhaiḥ 
MBtantrabhidanaHK-5403	bhṛguḥ śvetastathā haṃso hṛdo dakṣiṇapādagaḥ |	bhṛguḥ śvetaḥ tathā haṃsaḥ hṛdaḥ dakṣiṇa pāda gaḥ 
MBtantrabhidanaHK-5404	"16	samayaḥ sāmagaḥ śukraḥ saṅgatiḥ sārṇakaḥ śaśī || 50 ||"	samayaḥ sāmagaḥ śukraḥ saṅgatiḥ sārṇakaḥ śaśī   
MBtantrabhidanaHK-5405	nabho varāho nakulī hṛdo vāmapadaḥ sthitaḥ(tiḥ) |	nabhaḥ varāhaḥ nakulī hṛdaḥ vāma padaḥ 
MBtantrabhidanaHK-5406	sadāśivo'ruṇaḥ prāṇo hayagrīvo ha-kārakaḥ || 51 ||	          
MBtantrabhidanaHK-5407	hṛdayānnābhisaṃsthānaḥ śiveśaḥ ka(vi)malo'sitaḥ |	              
MBtantrabhidanaHK-5408	"20	laghuprayatnaścopāntyo(tyo) la-kāraḥ procyate budhaiḥ || 52 ||"	laghu prayatnaḥ ca upāntya ūtyaḥ lakāraḥ procyate budhaiḥ 
MBtantrabhidanaHK-5409	saṃvartako nṛsiṃhaśca hṛdayānmukhasaṃsthitaḥ |	saṃvartakaḥ nṛsiṃhaḥ ca hṛdayāt mukha saṃsthitaḥ 
MBtantrabhidanaHK-5410	anantaḥ paramātmā ca vajrakāyo'ntimaḥ kṣa-kaḥ || 53 ||	anantaḥ paramātmā ca 
MBtantrabhidanaHK-5411	p. 40)	p 
MBtantrabhidanaHK-5412	"1	atha kādimate proktāḥ śaṃkareṇa śivāṃ prati |"	atha kādi mate proktāḥ śaṃkareṇa śivām prati 
MBtantrabhidanaHK-5413	akārādikṣakārāntā varṇasaṃjñāḥ kramād bruve || 54 ||	akāra ādi kṣakāra antāḥ varṇa saṃjñāḥ kramāt bruve 
MBtantrabhidanaHK-5414	vāto maruccāgnivahnidharā kṣmā jala-vāriṇī |	vātaḥ marut ca agni vahni dharā kṣmā jala vāriṇī 
MBtantrabhidanaHK-5415	"4	vibhuḥ khañca caraḥ śucirbhūrvanaṃ svaña śaktiyuk || 55 ||"	vibhuḥ khañ ca caraḥ śuciḥ bhūḥ vanam svañ śaktiyuj   
MBtantrabhidanaHK-5416	prāṇastejaḥ sthirā vārdyurvāyuścāpi prabhā ca jayā |	prāṇaḥ tejaḥ sthirāḥ vārdyuḥ vāyuḥ ca api prabhā ca jayā 
MBtantrabhidanaHK-5417	kamabhra. nāda-dāvau ca kuḥ pātho vyomato rayaḥ || 56 ||	kam abhra ca kuḥ pāthaḥ vyomataḥ rayaḥ  
MBtantrabhidanaHK-5418	śikhī gotrā toya-śūnye javī dyutī rabhismṛtaḥ |	śikhī gotrā toyaśūnye javī 
MBtantrabhidanaHK-5419	"8	bhūmī raso nabhaścaiva vyāptaṃ dāho rasā'mbu ca || 57 ||"	bhūmiḥ rasaḥ nabhaḥ ca eva vyāptam dāhaḥ rasa ambu ca 
MBtantrabhidanaHK-5420	viyat sparśaśca hṛddhaṃsaḥ ilā grāsaḥ kramāḥ smṛtāḥ [1] |	viyat sparśaḥ ca hṛd haṃsaḥ ilā grāsaḥ kramāḥ smṛtāḥ 
MBtantrabhidanaHK-5421	mātṛkāvarṇasaṃjñāstu tā jñātvā coddharenmanūn || 58 ||	mātṛkā varṇa saṃjñāḥ tu tāḥ jñātvā ca uddharet manūn 
MBtantrabhidanaHK-5422	granthānanekānālokya mahīdāsena dhīmatā |	granthān anekān ālokya mahīdāsena dhīmatā 
MBtantrabhidanaHK-5423	"12	mātṛkākṣarasaṃjñeyaṃ badvā svaparabuddhaye || 59 ||"	mātṛkā akṣara saṃjñā iyam sva para buddhaye 
MBtantrabhidanaHK-5424	iti śrīmanmahīdāsaviracita-mātṛkānighaṇṭuḥ samāptaḥ |	iti śrīmat mahīdāsa viracita mātṛkānighaṇṭuḥ samāptaḥ 
MBtantrabhidanaHK-5425	1 ayaṃ tāvad varṇasaṃjñoddhāraprakāraḥ -	ayam tāvat varṇa saṃjñā uddhāra prakāraḥ 
MBtantrabhidanaHK-5426	vāsaḥ	vāsaḥ 
MBtantrabhidanaHK-5427	marut	marut 
MBtantrabhidanaHK-5428	agniḥ	agniḥ 
MBtantrabhidanaHK-5429	vahniḥ	vahniḥ 
MBtantrabhidanaHK-5430	dharā	dharā 
MBtantrabhidanaHK-5431	kṣmā	kṣmā 
MBtantrabhidanaHK-5432	jalam	jalam 
MBtantrabhidanaHK-5433	vāri	vāri 
MBtantrabhidanaHK-5434	vibhuḥ	vibhuḥ 
MBtantrabhidanaHK-5435	khaṃ	khaṃ 
MBtantrabhidanaHK-5436	a	a 
MBtantrabhidanaHK-5437	i	i 
MBtantrabhidanaHK-5438	u	u 
MBtantrabhidanaHK-5439	caraḥ	caraḥ 
MBtantrabhidanaHK-5440	śuciḥ	śuciḥ 
MBtantrabhidanaHK-5441	bhūḥ	bhūḥ 
MBtantrabhidanaHK-5442	vanaṃ	vanam 
MBtantrabhidanaHK-5443	svaṃ	svam 
MBtantrabhidanaHK-5444	śaktiḥ	śaktiḥ 
MBtantrabhidanaHK-5445	prāṇaḥ	prāṇaḥ 
MBtantrabhidanaHK-5446	tejaḥ	tejaḥ 
MBtantrabhidanaHK-5447	sthirā	sthirā 
MBtantrabhidanaHK-5448	vāryu	vāryu 
MBtantrabhidanaHK-5449	e	e 
MBtantrabhidanaHK-5450	ai	ai 
MBtantrabhidanaHK-5451	o	o 
MBtantrabhidanaHK-5452	au	au 
MBtantrabhidanaHK-5453	aṃ	aṃ 
MBtantrabhidanaHK-5454	aḥ	aḥ 
MBtantrabhidanaHK-5455	ka	ka 
MBtantrabhidanaHK-5456	kha	kha 
MBtantrabhidanaHK-5457	ga	ga 
MBtantrabhidanaHK-5458	gha	gha 
MBtantrabhidanaHK-5459	vāyuḥ	vāyuḥ 
MBtantrabhidanaHK-5460	prabhā	prabhā 
MBtantrabhidanaHK-5461	jayā	jayā 
MBtantrabhidanaHK-5462	kam	kam 
MBtantrabhidanaHK-5463	abhram	abhram 
MBtantrabhidanaHK-5464	nādaḥ	na a daḥ 
MBtantrabhidanaHK-5465	dāvaḥ	dāvaḥ 
MBtantrabhidanaHK-5466	kuḥ	kuḥ 
MBtantrabhidanaHK-5467	pāthaḥ	pāthaḥ 
MBtantrabhidanaHK-5468	vyoma	vyoma 
MBtantrabhidanaHK-5469	ṅa	ṅa 
MBtantrabhidanaHK-5470	ca	ca 
MBtantrabhidanaHK-5471	cha	cha 
MBtantrabhidanaHK-5472	ja	ja 
MBtantrabhidanaHK-5473	jha	jha 
MBtantrabhidanaHK-5474	ña	ña 
MBtantrabhidanaHK-5475	ṭa	ṭa 
MBtantrabhidanaHK-5476	ṭha	ṭha 
MBtantrabhidanaHK-5477	ḍa	ḍa 
MBtantrabhidanaHK-5478	ḍha	ḍha 
MBtantrabhidanaHK-5479	tārakaḥ	tārakaḥ 
MBtantrabhidanaHK-5480	śikhī	śikhī 
MBtantrabhidanaHK-5481	gotrā	gotrā 
MBtantrabhidanaHK-5482	toyam	toyam 
MBtantrabhidanaHK-5483	śūnyam	śūnyam 
MBtantrabhidanaHK-5484	javā	javā 
MBtantrabhidanaHK-5485	dutiḥ	dutiḥ 
MBtantrabhidanaHK-5486	raviḥ	raviḥ 
MBtantrabhidanaHK-5487	bhūmiḥ	bhūmiḥ 
MBtantrabhidanaHK-5488	rasaḥ	rasaḥ 
MBtantrabhidanaHK-5489	ṇa	ṇa 
MBtantrabhidanaHK-5490	ta	ta 
MBtantrabhidanaHK-5491	tha	tha 
MBtantrabhidanaHK-5492	da	da 
MBtantrabhidanaHK-5493	dha	dha 
MBtantrabhidanaHK-5494	na	na 
MBtantrabhidanaHK-5495	pa	pa 
MBtantrabhidanaHK-5496	pha	pha 
MBtantrabhidanaHK-5497	ba	ba 
MBtantrabhidanaHK-5498	bha	bha 
MBtantrabhidanaHK-5499	nabhaḥ	nabhaḥ 
MBtantrabhidanaHK-5500	vyāptaḥ	vyāptaḥ 
MBtantrabhidanaHK-5501	dāhaḥ	dāhaḥ 
MBtantrabhidanaHK-5502	rasā	rasā 
MBtantrabhidanaHK-5503	ambudhiḥ	ambudhiḥ 
MBtantrabhidanaHK-5504	viyat	viyat 
MBtantrabhidanaHK-5505	sparśaḥ	sparśaḥ 
MBtantrabhidanaHK-5506	rut	rut 
MBtantrabhidanaHK-5507	haṃsaḥ	haṃsaḥ 
MBtantrabhidanaHK-5508	halā	ha lā 
MBtantrabhidanaHK-5509	ma	ma 
MBtantrabhidanaHK-5510	ya	ya 
MBtantrabhidanaHK-5511	ra	ra 
MBtantrabhidanaHK-5512	la	la 
MBtantrabhidanaHK-5513	va	va 
MBtantrabhidanaHK-5514	śa	śa 
MBtantrabhidanaHK-5515	ṣa	ṣa 
MBtantrabhidanaHK-5516	sa	sa 
MBtantrabhidanaHK-5517	ha	ha 
MBtantrabhidanaHK-5518	kṣa	kṣa 
MBtantrabhidanaHK-5519	p. 41)	p 
MBtantrabhidanaHK-5520	prakārāntara-	prakāra antara 
MBtantrabhidanaHK-5521	mātṛkānighaṇṭuḥ	mātṛkānighaṇṭuḥ 
MBtantrabhidanaHK-5522	"1	dhruvastārastathauṅkāro mūlajyotiḥ śivo'vyayaḥ |"	dhruvaḥ tāraḥ tathā oṅkāraḥ mūlajyotiḥ śivaḥ vyayaḥ 
MBtantrabhidanaHK-5523	vedādyastārako'vyaktaḥ śākhādiḥ praṇavaḥ smṛtaḥ || 1 ||	veda ādyaḥ tārakaḥ vyaktaḥ śākhā ādiḥ praṇavaḥ smṛtaḥ 
MBtantrabhidanaHK-5524	mātṛkādyaḥ svarādyaśca śrīkaṇṭhaḥ keśavo laghuḥ |	mātṛkā ādyaḥ svara ādyaḥ ca śrīkaṇṭhaḥ keśavaḥ laghuḥ 
MBtantrabhidanaHK-5525	"4	kalādyaḥ keśavaḥ kṛṣṇo bhūteśaḥ prathamo bhavet || 2 ||"	kalā ādyaḥ keśavaḥ kṛṣṇaḥ bhūteśaḥ prathamaḥ bhavet   
MBtantrabhidanaHK-5526	hṛt tārako gururdīrgho nārāyaṇa-caturmukhau |	hṛd tārakaḥ guruḥ dīrghaḥ nārāyaṇa caturmukhau 
MBtantrabhidanaHK-5527	ananto vāsudevaśca vedāntaḥ kārakaḥ smṛtaḥ || 3 ||	anantaḥ vāsudevaḥ ca vedāntaḥ kārakaḥ smṛtaḥ 
MBtantrabhidanaHK-5528	dakṣākṣo mādhavaḥ sūkṣmaḥ pāñcajanyo makhāṃkuraḥ |	             
MBtantrabhidanaHK-5529	"8	viḍ binduḥ parameśaśca gandharvaḥ paramaḥ smṛtaḥ || 4 ||"	viś binduḥ parameśaḥ ca gandharvaḥ paramaḥ smṛtaḥ 
MBtantrabhidanaHK-5530	vāmākṣiśca trimūrtiśca mahāmāyā sureśvaraḥ |	vāma akṣiḥ ca trimūrtiḥ ca mahāmāyā sureśvaraḥ 
MBtantrabhidanaHK-5531	indramūrtirnṛsiṃhāstraṃ smṛto govinda ī-svaraḥ || 5 ||	indra mūrtiḥ nṛsiṃha astram smṛtaḥ govindaḥ īsvaraḥ 
MBtantrabhidanaHK-5532	yāmyakarṇo'mareśaśca manmatho'tha gajāṅkuśaḥ |	yāmyakarṇa umareśaḥ ca manmathaḥ utha gajāṅkuśaḥ 
MBtantrabhidanaHK-5533	"12	vijayo vighnahartā ca viṣṇurukārakaḥ smṛtaḥ || 6 ||"	          
MBtantrabhidanaHK-5534	vāmakarṇo'tha vāmāṃso dīrghaśca madhusūdanaḥ |	vāmakarṇaḥ utha vāmāṃsaḥ dīrghaḥ ca madhusūdanaḥ 
MBtantrabhidanaHK-5535	indracāpo'tha sūkṣmañca ṣaṇmukhaḥ ṣaṭsvaraḥ smṛtaḥ || 7 ||	indracāpaḥ utha sūkṣman ca ṣaṇmukhaḥ ṣaṭsvaraḥ smṛtaḥ 
MBtantrabhidanaHK-5536	dakṣanāsā trivikrānto bhārabhūrvi(tirgra)grahādhipaḥ |	              
MBtantrabhidanaHK-5537	"16	ṛṅmūrtistu yati dharma(rmo)ripughna ṛ-svaraḥ smṛtaḥ || 8 ||"	ṛc mūrtiḥ tu yati ṛsvaraḥ smṛtaḥ 
MBtantrabhidanaHK-5538	vāmanāsā(')tithīśaśca śrīkaṇṭhastripurāntakaḥ |	vāmanāsā atithi īśaḥ ca śrīkaṇṭhaḥ tripurāntakaḥ 
MBtantrabhidanaHK-5539	amrteśaḥ svaraḥ sthāṇurdevaju(ko')ṣṭasvaraḥ smṛtaḥ || 9 ||	amrteśaḥ svaraḥ sthāṇuḥ devajukaḥ oṣṭasvaraḥ smṛtaḥ 
MBtantrabhidanaHK-5540	yāmyagaṇḍasthitaḥ sthāṇurhṛśīkeśastridevakaḥ |	           
MBtantrabhidanaHK-5541	"20	ekāṅghrirvajradaṇḍaśca vyomādrī ḷ-svaraḥ smṛtaḥ || 10 ||"	ekāṅghriḥ vajradaṇḍaḥ ca vyomādrī ḷsvaraḥ smṛtaḥ 
MBtantrabhidanaHK-5542	p. 42)	p 
MBtantrabhidanaHK-5543	"1	vāmagaṇḍodarārddheca padmanābhaḥ kuberadṛk |"	vāma gaṇḍa udara arddhe ca padmanābhaḥ kubera dṛś 
MBtantrabhidanaHK-5544	gaṇeśaśca trikaṇṭhaśca nīlāṅghrirdaśamaḥ svaraḥ || 11 ||	gaṇeśaḥ ca trikaṇṭhaḥ ca nīlāṅghriḥ daśamaḥ svaraḥ   
